Ruler ID,Label
urn:cite2:chron:jer_romans:ruler21,Alexandros the Mamaias
urn:cite2:chron:jer_romans:ruler22,Maximinos
urn:cite2:chron:jer_romans:ruler23,Gordianos
urn:cite2:chron:jer_romans:ruler24,Philippos
urn:cite2:chron:jer_romans:ruler25,Dekios
urn:cite2:chron:jer_romans:ruler26,Galos and Billousianos
urn:cite2:chron:jer_romans:ruler27,Oualerios and Gallinos
urn:cite2:chron:jer_romans:ruler28,Claudios
urn:cite2:chron:jer_romans:ruler29,Aurilios
urn:cite2:chron:jer_romans:ruler31,Probos
urn:cite2:chron:jer_romans:ruler32,Karos and Karinos
urn:cite2:chron:jer_romans:ruler33,Of Diocletianos and Konstantios
urn:cite2:chron:jer_romans:ruler34,Konstantinos
urn:cite2:chron:jer_romans:ruler35,Konstantinos
urn:cite2:chron:jer_romans:ruler36,And the sons
urn:cite2:chron:jer_romans:ruler37,"Ioulianos Ellen the Seventh
urn:cite2:chron:jer_romans:ruler38,Iobianos
urn:cite2:chron:jer_romans:ruler39,Oualentinianos and Bales
urn:cite2:chron:jer_romans:ruler40,Oualentos and Gratianos in Rome
urn:cite2:chron:jer_romans:ruler41,Thedosios the Grey in Byzantios
urn:cite2:chron:jer_romans:ruler42,"Arcadios and Onorios
